reporting_month,sales_month,platform,country,artist_name,release_title,upc,track_title,isrc,quantity,unit_price,revenue,currency,sales_type
2025-01,2025-01,Facebook and Instagram,United States,Crystal Beats,Digital Dreams,5146270482810,Digital Reflection,US-AMR-25-00050,5863,0.0015,8.79,USD,Creation
2025-01,2025-01,Deezer,Brazil,Wild Horizon,Wild Frontier,1182449353486,Frontier Anthem,US-AMR-25-00108,801,0.0034,2.72,USD,Stream
2025-03,2025-03,Spotify,Japan,Midnight Echo,Echoes in the Dark,518347382999,Moonlit Shadows,US-AMR-25-00073,4448,0.0062,27.58,USD,Stream
2025-01,2025-01,YouTube Official Content,Poland,Wild Horizon,Wild Frontier,1182449353486,Final Pursuit,US-AMR-25-00110,1650,0.0034,5.61,USD,Stream
2025-03,2025-03,Apple Music,United States,John Legend,Smooth Horizons,1615594078169,Timeless Love,US-AMR-25-00011,6039,0.0102,61.6,USD,Stream
2025-03,2025-03,Spotify,United States,Midnight Echo,Moonlit Shadows,1326773602609,Moonlit Shadows,US-AMR-25-00073,4005,0.0061,24.43,USD,Stream
2025-02,2025-02,Apple Music,Canada,John Legend,Blue Moon Serenade,1043321819608,Sky High,US-AMR-25-00001,7888,0.01,78.88,USD,Stream
2025-03,2025-03,Spotify,Nigeria,Neon Sky,Lights of Tomorrow,7868011280599,Skyline Radiance,US-AMR-25-00117,3973,0.004,15.89,USD,Stream
2025-02,2025-02,TikTok,Hungary,Amy Winters,Autumn Leaves,1669784801846,Fading Colors,US-AMR-25-00042,5298,0.0008,4.24,USD,Creation
2025-01,2025-01,Spotify,Peru,Wild Horizon,Roadside Ballads,3462475107993,Road Ballad,US-AMR-25-00103,917,0.0038,3.48,USD,Stream
2025-03,2025-03,Apple Music,United States,Midnight Echo,Moonlit Shadows,1326773602609,Moonlit Shadows,US-AMR-25-00073,1416,0.011,15.58,USD,Stream
2025-02,2025-02,Qobuz,France,Wild Horizon,Roadside Ballads,3462475107993,Countryside Tales,US-AMR-25-00101,767,0.0053,4.07,USD,Stream
2025-01,2025-01,Apple Music,United States,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,2474,0.0105,25.98,USD,Stream
2025-02,2025-02,TikTok,Czech Republic,Midnight Echo,Moonlit Shadows,1326773602609,Moonlit Shadows,US-AMR-25-00073,1624,0.0008,1.3,USD,Creation
2025-03,2025-03,Soundcloud,United Kingdom,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,1223,0.0044,5.38,USD,Stream
2025-01,2025-01,Spotify,Egypt,Crystal Beats,Bassline Revolution,1822782489632,Bass Drop,US-AMR-25-00056,239,0.004,0.96,USD,Stream
2025-02,2025-02,YouTube Official Content,Spain,John Legend,Late Night Grooves,133890838634,Nightfall Serenade,US-AMR-25-00009,3110,0.0033,10.26,USD,Stream
2025-01,2025-01,YouTube Official Content,France,John Legend,Legacy of Soul,9283276483505,Velvet Soul,US-AMR-25-00028,910,0.004,3.64,USD,Stream
2025-01,2025-01,YouTube Official Content,Germany,Electric Avenue,Electric Sunrise,8121913619393,Electric Sunrise,US-AMR-25-00091,6501,0.0046,29.9,USD,Stream
2025-03,2025-03,Pandora,United States,Midnight Echo,Silent Screams,106513338729,Silent Screams,US-AMR-25-00074,7755,0.0072,55.84,USD,Stream
2025-03,2025-03,YouTube Official Content,Turkey,John Legend,Timeless Love,7940265423516,Timeless Love,US-AMR-25-00011,4763,0.0024,11.43,USD,Stream
2025-03,2025-03,Soundcloud,United States,Crystal Beats,Bassline Revolution,1822782489632,Neon Hearts,US-AMR-25-00052,6789,0.0043,29.19,USD,Stream
2025-02,2025-02,YouTube Official Content,Belgium,Midnight Echo,Shadow Symphony,7376311656674,Dark Harmony,US-AMR-25-00077,7217,0.0035,25.26,USD,Stream
2025-02,2025-02,Deezer,Brazil,John Legend,Smooth Horizons,1615594078169,Timeless Love,US-AMR-25-00011,2757,0.0031,8.55,USD,Stream
2025-02,2025-02,Spotify,Philippines,John Legend,Late Night Grooves,133890838634,Twilight Groove,US-AMR-25-00008,8788,0.004,35.15,USD,Stream
2025-01,2025-01,Spotify,United Kingdom,Midnight Echo,Silent Screams,106513338729,Silent Screams,US-AMR-25-00074,12435,0.0058,72.12,USD,Stream
2025-02,2025-02,Apple Music,Philippines,John Legend,Legacy of Soul,9283276483505,Velvet Soul,US-AMR-25-00028,1772,0.007,12.4,USD,Stream
2025-01,2025-01,Apple Music,United States,Wild Horizon,Ride or Die,1183842513545,Ride or Die,US-AMR-25-00100,3137,0.0108,33.88,USD,Stream
2025-02,2025-02,Spotify,Saudi Arabia,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,478,0.004,1.91,USD,Stream
2025-03,2025-03,Apple Music,Germany,John Legend,Late Night Grooves,133890838634,Groove Horizon,US-AMR-25-00010,16516,0.0103,170.11,USD,Stream
2025-02,2025-02,Spotify,Belgium,Wild Horizon,Wild Frontier,1182449353486,Wild Chase,US-AMR-25-00109,1187,0.0043,5.1,USD,Stream
2025-01,2025-01,YouTube UGC,Poland,Electric Avenue,Voltage Highway,6474687234302,Electric Storm,US-AMR-25-00083,1599,0.0011,1.76,USD,Creation
2025-03,2025-03,Spotify,France,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,1783,0.0051,9.09,USD,Stream
2025-02,2025-02,Spotify,United States,Crystal Beats,Digital Dreams,5146270482810,Neon Dreams,US-AMR-25-00047,322,0.0061,1.96,USD,Stream
2025-01,2025-01,YouTube Official Content,Other,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,1020,0.003,3.06,USD,Stream
2025-01,2025-01,Apple Music,Germany,Wild Horizon,Dust & Freedom,9091699854358,Dusty Echoes,US-AMR-25-00093,2502,0.0103,25.77,USD,Stream
2025-02,2025-02,Spotify,United States,Amy Winters,Whispering Winds,3056413953768,Winter Silence,US-AMR-25-00034,6192,0.0057,35.29,USD,Stream
2025-01,2025-01,YouTube Official Content,Japan,Amy Winters,Whispering Winds,3056413953768,Northern Wind,US-AMR-25-00032,1075,0.0047,5.05,USD,Stream
2025-03,2025-03,Qobuz,France,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,6263,0.0051,31.94,USD,Stream
2025-03,2025-03,YouTube Official Content,Other,Neon Sky,Skyline Echoes,8262045053317,City Pulse,US-AMR-25-00122,489,0.003,1.47,USD,Stream
2025-03,2025-03,YouTube Official Content,United States,Crystal Beats,Digital Dreams,5146270482810,Neon Dreams,US-AMR-25-00047,2286,0.0044,10.06,USD,Stream
2025-01,2025-01,Apple Music,United States,Wild Horizon,Wild Frontier,1182449353486,Untamed Lands,US-AMR-25-00107,3350,0.0105,35.18,USD,Stream
2025-02,2025-02,Apple Music,Belgium,Amy Winters,Twilight Melodies,7242388496966,Evening Ballad,US-AMR-25-00038,6301,0.0074,46.63,USD,Stream
2025-03,2025-03,Spotify,France,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,1844,0.0052,9.59,USD,Stream
2025-03,2025-03,Spotify,United States,Wild Horizon,Roadside Ballads,3462475107993,Countryside Tales,US-AMR-25-00101,1565,0.0057,8.92,USD,Stream
2025-03,2025-03,YouTube Official Content,Czech Republic,Electric Avenue,Electric Sunrise,8121913619393,Electric Sunrise,US-AMR-25-00091,2710,0.003,8.13,USD,Stream
2025-03,2025-03,Spotify,Canada,Neon Sky,Starlight Parade,4330365414584,Starlight Parade,US-AMR-25-00128,11194,0.006,67.16,USD,Stream
2025-01,2025-01,Apple Music,Malaysia,Crystal Beats,Crystal Energy,8346578713310,Pulse Reactor,US-AMR-25-00051,1548,0.0053,8.2,USD,Stream
2025-03,2025-03,Apple Music,Japan,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,1899,0.0105,19.94,USD,Stream
2025-01,2025-01,YouTube Official Content,Other,Neon Sky,Skyline Echoes,8262045053317,City Pulse,US-AMR-25-00122,2786,0.0031,8.64,USD,Stream
2025-02,2025-02,YouTube Official Content,United States,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,531,0.0044,2.34,USD,Stream
2025-03,2025-03,TikTok,Nigeria,Wild Horizon,Dust & Freedom,9091699854358,Sunset Journey,US-AMR-25-00096,2533,0.0008,2.03,USD,Creation
2025-02,2025-02,Facebook and Instagram,United States,Crystal Beats,Crystal Energy,8346578713310,Electric Crystals,US-AMR-25-00065,2558,0.0016,4.09,USD,Creation
2025-03,2025-03,Spotify,Argentina,Amy Winters,Autumn Leaves,1669784801846,Autumn Dreams,US-AMR-25-00043,3825,0.0032,12.24,USD,Stream
2025-01,2025-01,Pandora,United States,Wild Horizon,Dust & Freedom,9091699854358,Burning Miles,US-AMR-25-00099,829,0.0075,6.22,USD,Stream
2025-01,2025-01,Apple Music,Other,Wild Horizon,Dust & Freedom,9091699854358,Dusty Echoes,US-AMR-25-00093,927,0.0071,6.58,USD,Stream
2025-03,2025-03,Spotify,Canada,John Legend,Timeless Love,7940265423516,Timeless Love,US-AMR-25-00011,2546,0.006,15.28,USD,Stream
2025-02,2025-02,Spotify,New Zealand,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,2572,0.0044,11.32,USD,Stream
2025-01,2025-01,Spotify,Brazil,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,298,0.0033,0.98,USD,Stream
2025-01,2025-01,Tidal,United States,Wild Horizon,Endless Journey,2784980841249,Horizon Quest,US-AMR-25-00105,2361,0.0089,21.01,USD,Stream
2025-01,2025-01,Spotify,United States,Wild Horizon,Endless Journey,2784980841249,Journey’s End,US-AMR-25-00106,4969,0.006,29.81,USD,Stream
2025-02,2025-02,Spotify,United Kingdom,Wild Horizon,Dust & Freedom,9091699854358,Freedom Call,US-AMR-25-00094,5198,0.0062,32.23,USD,Stream
2025-02,2025-02,Facebook and Instagram,India,Midnight Echo,Silent Screams,106513338729,Silent Screams,US-AMR-25-00074,4626,0.001,4.63,USD,Creation
2025-01,2025-01,Apple Music,United States,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,3263,0.0104,33.94,USD,Stream
2025-01,2025-01,Facebook and Instagram,United States,Crystal Beats,Synthetic Waves,4893252880959,Artificial Breeze,US-AMR-25-00054,5708,0.0016,9.13,USD,Creation
2025-03,2025-03,Spotify,Australia,Neon Sky,Skyline Echoes,8262045053317,Urban Echo,US-AMR-25-00121,4752,0.0059,28.04,USD,Stream
2025-02,2025-02,Spotify,Turkey,Crystal Beats,Synthetic Waves,4893252880959,Synth Tide,US-AMR-25-00053,1342,0.0032,4.29,USD,Stream
2025-02,2025-02,TikTok,Italy,Midnight Echo,Moonlit Shadows,1326773602609,Moonlit Shadows,US-AMR-25-00073,3380,0.0009,3.04,USD,Creation
2025-01,2025-01,YouTube Official Content,United States,Amy Winters,Twilight Melodies,7242388496966,Sunset Serenade,US-AMR-25-00040,3312,0.0047,15.57,USD,Stream
2025-01,2025-01,Apple Music,Ukraine,Crystal Beats,Crystal Energy,8346578713310,Neon Hearts,US-AMR-25-00052,830,0.007,5.81,USD,Stream
2025-01,2025-01,Spotify,United States,John Legend,Timeless Love,7940265423516,Timeless Love,US-AMR-25-00011,6147,0.0059,36.27,USD,Stream
2025-03,2025-03,Apple Music,Canada,Crystal Beats,Synthetic Waves,4893252880959,Synth Tide,US-AMR-25-00053,1299,0.0102,13.25,USD,Stream
2025-02,2025-02,Deezer,France,Crystal Beats,Crystal Energy,8346578713310,Pulse Reactor,US-AMR-25-00051,6340,0.005,31.7,USD,Stream
2025-02,2025-02,Spotify,United States,Neon Sky,Starlight Parade,4330365414584,Starlight Parade,US-AMR-25-00128,8799,0.0062,54.55,USD,Stream
2025-01,2025-01,Spotify,Brazil,Wild Horizon,Roadside Ballads,3462475107993,Countryside Tales,US-AMR-25-00101,2653,0.0031,8.22,USD,Stream
2025-02,2025-02,Spotify,South Korea,Neon Sky,Neon Rain,5869232260256,Neon Rain,US-AMR-25-00124,6339,0.0054,34.23,USD,Stream
2025-02,2025-02,Apple Music,Germany,Crystal Beats,Digital Dreams,5146270482810,Neon Dreams,US-AMR-25-00047,3777,0.01,37.77,USD,Stream
2025-01,2025-01,Deezer,Germany,Neon Sky,City Reflections,6342160733751,Urban Mirage,US-AMR-25-00127,1014,0.0062,6.29,USD,Stream
2025-01,2025-01,Deezer,France,Wild Horizon,Dust & Freedom,9091699854358,Sunset Journey,US-AMR-25-00096,969,0.0053,5.14,USD,Stream
2025-03,2025-03,YouTube Official Content,Spain,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,4490,0.0031,13.92,USD,Stream
2025-01,2025-01,Spotify,United States,Midnight Echo,Shadow Symphony,7376311656674,Dark Harmony,US-AMR-25-00077,7093,0.0058,41.14,USD,Stream
2025-03,2025-03,Spotify,United Kingdom,Crystal Beats,Pulse Reactor,5098393010312,Pulse Reactor,US-AMR-25-00051,2387,0.0059,14.08,USD,Stream
2025-03,2025-03,TikTok,India,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,1082,0.0008,0.87,USD,Creation
2025-03,2025-03,YouTube UGC,Switzerland,Crystal Beats,Synthetic Waves,4893252880959,Synth Tide,US-AMR-25-00053,3848,0.0015,5.77,USD,Creation
2025-02,2025-02,Apple Music,United Kingdom,Neon Sky,City Reflections,6342160733751,Mirror Streets,US-AMR-25-00125,5055,0.0106,53.58,USD,Stream
2025-03,2025-03,Spotify,United States,Midnight Echo,Shadow Symphony,7376311656674,Phantom Melody,US-AMR-25-00075,11630,0.0059,68.62,USD,Stream
2025-03,2025-03,YouTube Official Content,Japan,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,3186,0.0046,14.66,USD,Stream
2025-01,2025-01,YouTube Official Content,Nigeria,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,3721,0.0029,10.79,USD,Stream
2025-01,2025-01,Spotify,Canada,John Legend,Late Night Grooves,133890838634,Gentle Touch,US-AMR-25-00012,4581,0.006,27.49,USD,Stream
2025-03,2025-03,Apple Music,United States,Crystal Beats,Synthetic Waves,4893252880959,Artificial Breeze,US-AMR-25-00054,8521,0.011,93.73,USD,Stream
2025-03,2025-03,Apple Music,Canada,John Legend,Smooth Horizons,1615594078169,Ocean Breeze,US-AMR-25-00013,7551,0.0109,82.31,USD,Stream
2025-03,2025-03,Apple Music,Australia,Crystal Beats,Digital Dreams,5146270482810,Pulse Shift,US-AMR-25-00049,491,0.0104,5.11,USD,Stream
2025-02,2025-02,Spotify,United States,Electric Avenue,Voltage Highway,6474687234302,High Voltage,US-AMR-25-00081,7486,0.0063,47.16,USD,Stream
2025-01,2025-01,Apple Music,Other,Amy Winters,Whispering Winds,3056413953768,Falling Leaves,US-AMR-25-00035,801,0.0067,5.37,USD,Stream
2025-03,2025-03,TikTok,United States,Wild Horizon,Wild Frontier,1182449353486,Frontier Anthem,US-AMR-25-00108,1151,0.0012,1.38,USD,Creation
2025-01,2025-01,YouTube Official Content,Other,Amy Winters,Autumn Leaves,1669784801846,Fading Colors,US-AMR-25-00042,2064,0.0029,5.99,USD,Stream
2025-01,2025-01,Tidal,United States,Amy Winters,Frozen Tears,5328710122696,Frozen Tears,US-AMR-25-00037,9969,0.0088,87.73,USD,Stream
2025-01,2025-01,Apple Music,United States,Electric Avenue,Night Drive,9805009788208,Neon Road,US-AMR-25-00089,695,0.0108,7.51,USD,Stream
2025-02,2025-02,Spotify,United Kingdom,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,1585,0.0058,9.19,USD,Stream
2025-03,2025-03,Apple Music,United Kingdom,Amy Winters,Twilight Melodies,7242388496966,Sunset Serenade,US-AMR-25-00040,585,0.01,5.85,USD,Stream
2025-02,2025-02,YouTube Official Content,Sweden,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,1213,0.0037,4.49,USD,Stream
2025-03,2025-03,Spotify,United States,Crystal Beats,Crystal Energy,8346578713310,Electric Crystals,US-AMR-25-00065,4038,0.006,24.23,USD,Stream
2025-03,2025-03,Apple Music,United Kingdom,Midnight Echo,Echoes in the Dark,518347382999,Endless Night,US-AMR-25-00072,8969,0.0101,90.59,USD,Stream
2025-02,2025-02,Spotify,Brazil,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,2300,0.0033,7.59,USD,Stream
2025-03,2025-03,Apple Music,United States,Neon Sky,City Reflections,6342160733751,Starlight Parade,US-AMR-25-00128,5415,0.0104,56.32,USD,Stream
2025-02,2025-02,Soundcloud,United States,Crystal Beats,Synthetic Waves,4893252880959,Wave Rider,US-AMR-25-00055,1294,0.0045,5.82,USD,Stream
2025-03,2025-03,Facebook and Instagram,United States,Midnight Echo,Shadow Symphony,7376311656674,Phantom Melody,US-AMR-25-00075,11634,0.0015,17.45,USD,Creation
2025-02,2025-02,Deezer,Indonesia,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,3564,0.0041,14.61,USD,Stream
2025-03,2025-03,Spotify,United States,Amy Winters,Whispering Winds,3056413953768,Winter Silence,US-AMR-25-00034,7022,0.0058,40.73,USD,Stream
2025-01,2025-01,Pandora,United States,Wild Horizon,Burning Miles,7401640052429,Burning Miles,US-AMR-25-00099,351,0.0077,2.7,USD,Stream
2025-03,2025-03,TikTok,Other,John Legend,Gentle Touch,3164752553416,Gentle Touch,US-AMR-25-00012,3844,0.0008,3.08,USD,Creation
2025-01,2025-01,Tidal,United States,John Legend,Smooth Horizons,1615594078169,Ocean Breeze,US-AMR-25-00013,8757,0.0089,77.94,USD,Stream
2025-03,2025-03,Spotify,Spain,Electric Avenue,Night Drive,9805009788208,Midnight Highway,US-AMR-25-00088,637,0.0042,2.68,USD,Stream
2025-02,2025-02,Spotify,Mexico,Wild Horizon,Ride or Die,1183842513545,Ride or Die,US-AMR-25-00100,1252,0.0031,3.88,USD,Stream
2025-01,2025-01,Tidal,United States,Midnight Echo,Echoes in the Dark,518347382999,Midnight Reflection,US-AMR-25-00067,1026,0.0092,9.44,USD,Stream
2025-03,2025-03,YouTube UGC,Mexico,John Legend,Smooth Horizons,1615594078169,Timeless Love,US-AMR-25-00011,4609,0.0008,3.69,USD,Creation
2025-02,2025-02,Spotify,Mexico,Wild Horizon,Endless Journey,2784980841249,Forever Road,US-AMR-25-00104,1983,0.0032,6.35,USD,Stream
2025-01,2025-01,Apple Music,Canada,John Legend,Timeless Love,7940265423516,Timeless Love,US-AMR-25-00011,328,0.0102,3.35,USD,Stream
2025-01,2025-01,Spotify,Romania,John Legend,Blue Moon Serenade,1043321819608,Celestial Dreams,US-AMR-25-00007,730,0.0038,2.77,USD,Stream
2025-01,2025-01,Pandora,Canada,Neon Sky,Neon Rain,5869232260256,Neon Rain,US-AMR-25-00124,8500,0.0075,63.75,USD,Stream
2025-02,2025-02,JioSaavn,India,Midnight Echo,Nocturnal Whispers,6247317810807,Moonlit Voice,US-AMR-25-00078,569,0.002,1.14,USD,Stream
2025-03,2025-03,YouTube UGC,Mexico,Crystal Beats,Bassline Revolution,1822782489632,Revolution Anthem,US-AMR-25-00061,3098,0.0008,2.48,USD,Creation
2025-02,2025-02,YouTube UGC,United States,Neon Sky,City Reflections,6342160733751,Mirror Streets,US-AMR-25-00125,8705,0.0015,13.06,USD,Creation
2025-02,2025-02,Spotify,South Korea,Midnight Echo,Shadow Symphony,7376311656674,Phantom Melody,US-AMR-25-00075,9601,0.0051,48.97,USD,Stream
2025-02,2025-02,Spotify,Poland,Crystal Beats,Crystal Energy,8346578713310,Neon Hearts,US-AMR-25-00052,1624,0.0042,6.82,USD,Stream
2025-02,2025-02,Facebook and Instagram,United States,Crystal Beats,Neon Hearts,7015430391171,Neon Hearts,US-AMR-25-00052,1963,0.0015,2.94,USD,Creation
2025-01,2025-01,Spotify,United States,Crystal Beats,Synthetic Waves,4893252880959,Artificial Breeze,US-AMR-25-00054,1451,0.0058,8.42,USD,Stream
2025-03,2025-03,YouTube Official Content,Ukraine,Wild Horizon,Dust & Freedom,9091699854358,Burning Miles,US-AMR-25-00099,1299,0.003,3.9,USD,Stream
